,per_student_2006,percent_of_all_expenditures_2006,total_expenditure_2006
X655,140,0.009000000000000001,214542
X670,125,0.006999999999999999,73967
X014,249,0.015,127257
X036,198,0.013000000000000001,119952
X048,346,0.021,342255
X062,137,0.009000000000000001,91152
X069,256,0.016,122491
X071,296,0.022000000000000002,365472
X072,425,0.024,424064
X075,396,0.024,275095
X093,139,0.006999999999999999,77561
X100,100,0.006999999999999999,65691
X101,108,0.009000000000000001,63065
X107,158,0.009000000000000001,96388
X119,260,0.019,195527
X123,252,0.015,189470
X125,216,0.015,200165
X130,523,0.034,298628
X131,101,0.006999999999999999,121269
X138,124,0.009000000000000001,95235
X140,144,0.008,76050
X146,181,0.01,76431
X152,181,0.012,131364
X174,131,0.009000000000000001,187903
X182,140,0.01,114610
X192,236,0.013999999999999999,248484
X201,344,0.019,191334
X269,627,0.045,96509
X282,247,0.02,37040
X293,401,0.036000000000000004,108399
X295,230,0.019,61619
X301,163,0.011000000000000001,79771
X302,311,0.022000000000000002,364079
X304,110,0.006,46533
X305,258,0.02,70727
X312,466,0.037000000000000005,124039
0,,,
X333,148,0.009000000000000001,68676
X335,308,0.019,64096
X337,393,0.031,67979
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
X405,80,0.006999999999999999,327871
0,,,
0,,,
0,,,
X450,139,0.01,382309
X452,301,0.023,92050
0,,,
X519,587,0.040999999999999995,134420
X530,814,0.051,236824
0,,,
X540,63,0.004,18140
X560,137,0.008,54122
X650,185,0.013999999999999999,324723
X686,236,0.015,111902
X002,393,0.015,139260
X004,341,0.012,198878
X011,97,0.006,70401
X022,221,0.013999999999999999,159027
X028,349,0.021,291256
X035,473,0.034,316359
X042,419,0.021,240323
X053,95,0.006999999999999999,141121
X055,435,0.024,290783
X058,351,0.021,185007
X063,234,0.013000000000000001,109549
X064,322,0.019,309816
X070,159,0.012,255971
X073,267,0.018000000000000002,222743
X088,431,0.026000000000000002,128009
X090,197,0.013000000000000001,256553
X109,219,0.013999999999999999,157206
X110,263,0.012,147030
X114,344,0.023,276684
X117,181,0.012,198749
X126,400,0.025,325741
X128,247,0.019,56064
X132,347,0.015,218496
X145,378,0.022000000000000002,206593
X163,531,0.034,373314
X166,510,0.03,536649
X170,207,0.013999999999999999,53695
X199,67,0.004,54093
X204,453,0.028999999999999998,181514
X215,295,0.023,77931
X218,290,0.022000000000000002,282624
X219,366,0.021,231520
X227,182,0.013999999999999999,38862
X229,223,0.01,104925
X230,206,0.011000000000000001,104685
X231,152,0.012,28962
X232,77,0.005,61090
X236,245,0.012,103866
X239,167,0.012,27286
X241,267,0.015,42516
X250,1288,0.084,195792
X252,608,0.039,68066
X260,690,0.047,75259
X263,261,0.015,27938
X276,836,0.055999999999999994,88666
X297,166,0.011000000000000001,49907
X303,243,0.017,78155
X313,284,0.018000000000000002,133874
X323,290,0.023,170902
0,,,
X325,637,0.049,320997
X327,606,0.05,106680
X328,853,0.06,323160
0,,,
X339,207,0.013000000000000001,197505
0,,,
X403,237,0.017,76277
X404,345,0.022000000000000002,134714
X412,807,0.048,388886
X413,1867,0.11699999999999999,806569
X414,1245,0.065,511611
0,,,
0,,,
0,,,
0,,,
X505,295,0.021,176607
X517,134,0.011000000000000001,41145
X525,270,0.019,169724
X543,257,0.019,59635
X003,467,0.023,245876
X007,359,0.022000000000000002,251253
X008,174,0.013000000000000001,201900
X009,233,0.013999999999999999,178925
X015,83,0.005,48481
X020,274,0.017,359894
X023,443,0.019,286429
X024,109,0.006,77165
X032,315,0.02,279208
X033,81,0.006,85802
X037,329,0.019,186204
X045,194,0.013000000000000001,260302
X046,190,0.013000000000000001,241756
X051,359,0.021,90813
X054,398,0.023,201166
X056,364,0.025,194665
X059,307,0.013999999999999999,171214
X079,277,0.021,272629
X080,170,0.01,155630
X081,143,0.01,89477
X085,658,0.037000000000000005,767317
X086,427,0.03,706625
X091,479,0.031,391139
X094,171,0.012,183237
X095,176,0.012,247668
X118,249,0.018000000000000002,310317
X141,121,0.008,147972
X143,1074,0.053,488770
X159,465,0.026000000000000002,107964
X205,253,0.019,256462
X206,277,0.017,130516
X207,670,0.042,329556
X209,367,0.021,77709
X213,450,0.033,94578
X225,484,0.035,186694
X226,176,0.011000000000000001,78116
X228,434,0.028999999999999998,62023
X237,310,0.025,86460
X243,109,0.009000000000000001,32378
X244,614,0.043,244907
X246,205,0.013999999999999999,173735
X254,219,0.013000000000000001,113025
X268,1699,0.125,190250
X279,120,0.008,128015
X280,255,0.02,175745
X284,342,0.028999999999999998,104870
X291,152,0.011000000000000001,87988
X306,410,0.023,385609
X307,625,0.033,130696
X308,445,0.028999999999999998,131754
X310,350,0.022000000000000002,273124
X315,563,0.03,131262
X319,691,0.024,87102
X331,311,0.025,111210
X340,251,0.016,132169
0,,,
0,,,
X360,373,0.024,179802
0,,,
X368,330,0.025,314678
0,,,
0,,,
0,,,
X390,234,0.015,147411
X391,257,0.016,221275
X396,380,0.017,127203
0,,,
X399,480,0.028999999999999998,377490
X410,3894,0.073,494524
X430,242,0.017,569242
X433,122,0.01,59957
X434,249,0.013999999999999999,94073
X435,2122,0.068,634437
X437,345,0.021,161306
X438,301,0.019,158509
X439,330,0.02,147124
X440,73,0.005,332282
X442,937,0.062,228701
X445,99,0.009000000000000001,241512
0,,,
0,,,
X475,191,0.015,729768
X477,247,0.018000000000000002,101618
0,,,
0,,,
X546,141,0.009000000000000001,41174
X549,128,0.009000000000000001,34305
X660,240,0.016,358800
X696,568,0.039,175662
X016,119,0.008,75753
X019,146,0.01,65141
X021,210,0.017,179058
X041,174,0.013000000000000001,151370
X068,106,0.006,80908
X076,309,0.022000000000000002,308699
X078,209,0.013000000000000001,165886
X083,88,0.006,140805
X087,101,0.006999999999999999,56431
X089,65,0.005,94974
X096,331,0.023,344139
X097,120,0.008,85952
X103,189,0.015,219255
X105,121,0.009000000000000001,176620
X106,284,0.019,291372
X108,212,0.015,121778
X111,133,0.006999999999999999,99809
X112,229,0.013999999999999999,144531
X113,120,0.009000000000000001,129943
X121,170,0.011000000000000001,127109
X127,86,0.006,74575
X135,236,0.016,281091
X142,254,0.017,270677
X144,131,0.009000000000000001,179371
X153,150,0.006999999999999999,86737
X160,614,0.023,303888
0,,,
X175,126,0.008,50605
X178,182,0.011000000000000001,96324
X180,294,0.016,333945
X181,124,0.008,90559
0,,,
X194,107,0.009000000000000001,131377
X249,458,0.038,92884
X253,150,0.012,31840
X265,489,0.042,109581
X270,524,0.028999999999999998,82267
X272,628,0.049,131313
X275,1378,0.09300000000000001,275633
X287,1529,0.09300000000000001,140631
X288,215,0.016,67115
X289,582,0.043,108914
X290,228,0.018000000000000002,65974
X299,51,0.004,14873
0,,,
0,,,
0,,,
X415,104,0.008,237766
X418,289,0.023,100439
X425,148,0.01,214114
X455,120,0.011000000000000001,405630
0,,,
0,,,
0,,,
0,,,
0,,,
X513,460,0.035,87819
X514,125,0.011000000000000001,25053
0,,,
0,,,
X541,255,0.019,81243
X542,288,0.024,121226
X544,214,0.016,61366
X545,412,0.024,143720
X006,352,0.02,265304
X044,335,0.016,140324
X047,198,0.013000000000000001,197345
X050,259,0.016,200859
X057,408,0.02,201719
X061,393,0.021,149271
X066,477,0.023,328428
X067,112,0.006999999999999999,88547
X092,76,0.005,47502
X098,185,0.01,112968
X102,70,0.005,101068
X129,328,0.02,186101
X134,130,0.008,97431
X150,69,0.004,60017
X158,285,0.013000000000000001,139259
X190,83,0.006,21415
0,,,
X195,145,0.008,58952
X196,145,0.009000000000000001,58182
X197,433,0.027000000000000003,238656
X198,1190,0.042,609235
X211,154,0.008,105074
X212,227,0.013999999999999999,108638
X214,155,0.009000000000000001,132998
X216,79,0.005,40529
X217,145,0.01,75252
0,,,
X242,1226,0.069,90754
X245,1299,0.08199999999999999,189635
X248,1056,0.073,112980
X251,492,0.027999999999999997,55093
X262,217,0.015,46754
X267,209,0.015,24860
X271,152,0.009000000000000001,46137
X273,337,0.026000000000000002,61686
X278,468,0.038,87107
X286,760,0.055,129276
X300,177,0.013000000000000001,111385
X316,303,0.021,40879
X318,133,0.008,55407
X341,460,0.036000000000000004,69504
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
X480,1019,0.054000000000000006,382990
0,,,
0,,,
0,,,
0,,,
X550,334,0.023,124750
X680,290,0.022000000000000002,152178
X682,289,0.019,135149
X684,132,0.009000000000000001,75750
X690,319,0.023,191624
X691,648,0.036000000000000004,79039
X692,180,0.013000000000000001,94981
K003,173,0.012,111273
K008,353,0.021,130164
K009,210,0.012,113299
K011,151,0.01,75686
K020,107,0.006999999999999999,48201
K044,179,0.013999999999999999,111958
K046,214,0.013000000000000001,91983
K054,182,0.01,86277
K056,138,0.008,56446
K067,169,0.008,51851
K093,138,0.009000000000000001,66142
K103,82,0.006999999999999999,27130
K113,167,0.012,152591
K117,247,0.013999999999999999,126349
K133,395,0.018000000000000002,108935
K256,259,0.016,143161
K258,139,0.009000000000000001,83821
K265,406,0.026000000000000002,283788
K266,103,0.009000000000000001,23593
K270,189,0.011000000000000001,56057
K282,252,0.017,142263
K287,99,0.005,21603
K301,336,0.031,90981
K305,151,0.01,72465
K307,150,0.008,55757
K313,113,0.009000000000000001,35999
K336,142,0.009000000000000001,10919
K350,398,0.031,43735
0,,,
K419,175,0.016,162689
K430,84,0.008,356047
K439,317,0.022000000000000002,105036
K483,186,0.013999999999999999,41350
0,,,
K499,236,0.016,164071
K509,261,0.018000000000000002,75098
0,,,
K553,945,0.05,305166
K571,182,0.013999999999999999,51582
K575,691,0.026000000000000002,134672
0,,,
K595,155,0.011000000000000001,45055
0,,,
K605,291,0.016,306657
0,,,
K670,105,0.006999999999999999,98794
0,,,
0,,,
K016,132,0.008,54453
K017,189,0.011000000000000001,79879
K018,448,0.027000000000000003,118599
K019,210,0.013000000000000001,122889
K023,206,0.015,65637
K031,234,0.017,143441
K033,542,0.02,140264
K034,154,0.011000000000000001,70856
K049,279,0.013000000000000001,136950
K050,351,0.025,258109
K059,243,0.016,128015
K071,391,0.019,307722
K084,180,0.009000000000000001,91325
K110,135,0.008,59024
K120,162,0.009000000000000001,74544
K126,155,0.01,114454
K132,155,0.011000000000000001,99068
K147,410,0.019,151125
K157,226,0.011000000000000001,73566
K196,321,0.017,129914
K250,106,0.008,97685
K257,318,0.017,187807
K297,93,0.006,37276
K318,285,0.022000000000000002,376514
K319,468,0.03,80072
K322,1508,0.096,164327
K330,810,0.048,63980
K380,362,0.02,179262
0,,,
0,,,
0,,,
K474,275,0.022000000000000002,299282
K477,203,0.015,179640
K478,167,0.011000000000000001,137778
K488,401,0.031,80173
K558,187,0.013999999999999999,37207
K561,158,0.013000000000000001,33707
K577,171,0.015,58684
K582,195,0.016,51419
0,,,
K610,105,0.006,102831
0,,,
0,,,
K640,183,0.009000000000000001,90206
K685,376,0.021,56716
K001,100,0.006999999999999999,106969
K010,211,0.01,118002
K015,202,0.01,86309
K024,207,0.013000000000000001,170913
K027,276,0.013000000000000001,127952
K029,169,0.013000000000000001,127151
K032,227,0.008,70239
K038,108,0.006999999999999999,55458
K039,102,0.006999999999999999,38486
K051,130,0.011000000000000001,129423
K058,260,0.015,115277
K088,330,0.02,309931
K094,178,0.015,225849
K107,333,0.024,151655
K124,217,0.013999999999999999,74235
K130,283,0.02,143218
K131,240,0.017,212864
K136,487,0.027000000000000003,282359
K146,93,0.006999999999999999,48429
K154,299,0.019,120276
K169,235,0.016,254320
K172,172,0.012,96752
K230,111,0.008,132999
K261,125,0.009000000000000001,96376
K295,326,0.02,131545
K321,131,0.01,166237
0,,,
0,,,
0,,,
K429,428,0.032,283496
K442,238,0.012,56116
K443,867,0.067,360527
K447,425,0.028999999999999998,140387
K448,204,0.013999999999999999,99140
K462,277,0.02,158612
K463,238,0.017,145038
K464,289,0.022000000000000002,149975
K497,614,0.035,314168
K519,139,0.011000000000000001,129298
K520,495,0.03,151980
0,,,
K530,127,0.011000000000000001,47604
K656,439,0.033,327851
0,,,
0,,,
0,,,
K698,565,0.032,75759
K821,363,0.027999999999999997,122668
K005,235,0.012,117510
K021,215,0.016,145847
K025,475,0.025,358658
K026,317,0.02,130090
K028,687,0.027999999999999997,164856
K035,307,0.016,94026
K040,246,0.013000000000000001,101340
K057,506,0.028999999999999998,185086
K081,370,0.021,180498
K143,236,0.012,84482
K243,306,0.016,145963
K262,414,0.023,182185
K267,341,0.023,178715
K304,409,0.026000000000000002,177098
K308,593,0.037000000000000005,549497
K309,274,0.015,130166
K335,290,0.017,144318
K385,383,0.022000000000000002,127139
K393,258,0.019,89723
K455,271,0.027000000000000003,1192
K498,147,0.012,104821
0,,,
K584,418,0.034,115023
0,,,
0,,,
0,,,
0,,,
0,,,
K002,156,0.009000000000000001,119487
K006,134,0.009000000000000001,91110
K012,731,0.032,418315
K022,236,0.012,138962
K061,143,0.01,160656
K091,199,0.012,158375
K092,147,0.01,120730
0,,,
K138,181,0.011000000000000001,182572
K161,98,0.008,105973
K167,237,0.015,148394
K181,158,0.011000000000000001,200738
K189,190,0.015,223529
K191,331,0.018000000000000002,121796
K221,140,0.009000000000000001,93637
K241,165,0.01,105315
K246,416,0.026000000000000002,479201
K249,436,0.031,353526
K289,287,0.017,247540
K316,383,0.018000000000000002,179028
K334,230,0.009000000000000001,18152
K340,355,0.028999999999999998,132298
K352,400,0.03,258633
K353,433,0.03,78353
K354,707,0.034,63667
K375,674,0.04,333829
0,,,
K390,390,0.021,212433
K391,2339,0.057,290064
K394,136,0.01,116120
K397,251,0.016,103576
K398,120,0.006,69167
K399,114,0.008,50673
0,,,
K440,504,0.017,96735
K459,173,0.008,27257
K469,255,0.016,99947
K470,139,0.006,40420
K479,220,0.013999999999999999,83943
0,,,
K489,300,0.013000000000000001,95792
K524,766,0.054000000000000006,165472
K528,120,0.009000000000000001,26680
K531,149,0.012,44710
K533,464,0.037000000000000005,128577
K537,190,0.015,40273
K539,393,0.028999999999999998,85656
K543,468,0.03,140279
K544,262,0.019,76195
K546,444,0.031,130868
K547,645,0.044000000000000004,216660
K548,198,0.013000000000000001,63428
K568,809,0.047,146485
K587,568,0.033,197710
K590,93,0.009000000000000001,86889
K600,281,0.022000000000000002,669147
K625,154,0.012,235998
0,,,
0,,,
K066,214,0.015,135600
K068,114,0.008,132755
K114,114,0.009000000000000001,110764
K115,125,0.01,149552
K135,152,0.011000000000000001,123568
K208,268,0.02,192774
K211,195,0.011000000000000001,159300
K219,252,0.015,251579
K232,96,0.006,84498
K233,270,0.017,217960
K235,125,0.011000000000000001,190323
K244,197,0.012,215235
K252,401,0.02,159897
K268,111,0.008,73538
K272,246,0.015,199822
K276,121,0.009000000000000001,124778
K279,117,0.008,109214
K285,153,0.012,158920
0,,,
K415,65,0.006,161672
K500,121,0.011000000000000001,350118
K515,103,0.009000000000000001,205444
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
K007,287,0.021,281485
K013,314,0.017,195316
K065,297,0.02,162608
K072,436,0.022000000000000002,314603
K089,402,0.025,100959
K108,186,0.013999999999999999,186128
K149,263,0.017,216590
K158,236,0.013000000000000001,121090
K159,197,0.013999999999999999,179296
K166,286,0.016,225915
K171,257,0.02,271025
K174,321,0.018000000000000002,159662
K190,750,0.036000000000000004,269078
K202,279,0.019,299212
K213,368,0.023,190994
K214,342,0.023,342587
K218,208,0.013999999999999999,235249
K224,415,0.028999999999999998,370587
K260,174,0.01,78009
K273,266,0.015,153055
K290,158,0.01,98236
K292,275,0.017,246687
K302,318,0.021,402032
K306,187,0.01,120275
K311,316,0.021,82870
0,,,
K328,180,0.01,138860
K345,179,0.012,141668
K346,215,0.015,191987
K364,410,0.026000000000000002,159499
K409,294,0.019,123082
K420,240,0.018000000000000002,769961
K435,350,0.019,251801
0,,,
K502,393,0.031,82428
K504,354,0.027999999999999997,68944
K507,608,0.045,116694
K510,378,0.031,80940
0,,,
K615,366,0.028999999999999998,620186
0,,,
0,,,
0,,,
K660,319,0.022000000000000002,468289
0,,,
0,,,
0,,,
0,,,
K030,310,0.024,110631
K048,256,0.019,159872
K062,280,0.019,348415
K069,225,0.016,164785
K102,186,0.013999999999999999,210148
K104,190,0.015,238931
K105,303,0.022000000000000002,366821
K112,113,0.009000000000000001,52013
K127,184,0.013000000000000001,74483
K160,173,0.013999999999999999,128492
K163,219,0.012,112344
K164,223,0.011000000000000001,119671
K170,203,0.015,151331
K176,204,0.013999999999999999,221721
K179,201,0.016,194084
K180,643,0.033,339417
K185,158,0.013999999999999999,121890
K186,213,0.013999999999999999,184453
K187,255,0.019,248301
K192,555,0.022000000000000002,222708
K200,115,0.01,141965
K201,157,0.013000000000000001,275308
K204,175,0.013000000000000001,176544
K205,351,0.017,326801
K220,318,0.023,435421
K223,369,0.019,272500
K227,294,0.019,399079
K229,89,0.006999999999999999,49627
K247,213,0.017,143575
K259,132,0.01,175008
0,,,
0,,,
K314,224,0.017,368925
K445,177,0.016,543157
K485,184,0.013999999999999999,222160
K490,203,0.019,921675
0,,,
K505,107,0.01,392362
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
K090,242,0.013999999999999999,124120
K095,221,0.015,198765
K096,105,0.006999999999999999,134486
K097,99,0.008,87109
K098,98,0.009000000000000001,99702
K099,222,0.017,179896
K100,220,0.017,142445
K101,179,0.015,142687
K121,249,0.013999999999999999,68182
K128,227,0.011000000000000001,68777
K153,69,0.004,38052
K177,248,0.019,212582
K188,103,0.006999999999999999,72062
K199,386,0.023,196296
K209,126,0.008,80514
K212,228,0.013000000000000001,132758
K215,148,0.01,99264
K216,273,0.015,117322
K225,200,0.012,195961
K226,213,0.011000000000000001,169647
K228,143,0.011000000000000001,164934
K238,283,0.013000000000000001,167780
K239,123,0.01,148308
K253,349,0.021,208446
K281,330,0.026000000000000002,447791
K288,217,0.013000000000000001,140450
K303,157,0.011000000000000001,163820
K329,189,0.011000000000000001,136524
K337,2066,0.11599999999999999,148762
K344,434,0.028999999999999998,46821
K348,1125,0.07200000000000001,102368
K400,204,0.015,376356
K410,98,0.009000000000000001,275284
0,,,
K525,76,0.006,302355
K540,109,0.01,358499
0,,,
0,,,
K620,140,0.01,232237
K690,100,0.006999999999999999,79541
0,,,
K014,183,0.01,160435
K052,251,0.015,182575
K078,138,0.012,198828
K109,239,0.013999999999999999,172169
K119,130,0.01,67918
K134,327,0.021,146740
K139,205,0.016,220394
K152,264,0.022000000000000002,211652
K193,119,0.009000000000000001,103376
K194,301,0.017,144501
K195,97,0.006999999999999999,39004
